Date,Open,High,Low,Close
18-Jul-12,12146.32,12215.32,12065.95,12184.41
19-Jul-12,12297.22,12309.71,12179.43,12198.05
20-Jul-12,12171.93,12186.98,12020.06,12042.03
23-Jul-12,11943,11947.32,11783.2,11805.18
24-Jul-12,11861.4,11884.19,11759.97,11824.04
25-Jul-12,11810.26,11841.2,11740.48,11784.32
26-Jul-12,11833.88,11833.88,11547.65,11586.94
27-Jul-12,11756.97,11933.72,11590.28,11633.16
30-Jul-12,11760.09,11961.91,11745.63,11943.42
31-Jul-12,11996.2,11996.2,11744.39,11910.46
01-Aug-12,11870.73,11979.7,11850.53,11951.52
02-Aug-12,11955.11,11955.11,11836.62,11908.79
03-Aug-12,11838.26,11860.39,11723.09,11834.98
06-Aug-12,11966.63,12048.04,11956.77,11998.17
07-Aug-12,12047.08,12174.26,12001.12,12141.66
08-Aug-12,12170.9,12208.36,12056.05,12076.13
09-Aug-12,12120.74,12173.56,11968.09,11991.62
10-Aug-12,11971.61,11990.02,11790.08,11889.48
13-Aug-12,11873.72,11953.34,11807.14,11938.26
14-Aug-12,11972.16,12101.81,11923.54,12067.38
16-Aug-12,12091.21,12115.77,11959.93,11976.04
17-Aug-12,11996.62,12063.6,11890.45,11961.03
21-Aug-12,11992.13,12034.3,11895.36,12020.97
22-Aug-12,11975.32,12091.05,11952.37,12026.29
23-Aug-12,12060.92,12119.53,11955.88,12002.08
24-Aug-12,11948.17,11955.72,11851.35,11872.28
27-Aug-12,11872.57,11872.57,11626.75,11656.91
28-Aug-12,11651.92,11651.92,11505.34,11544.33
29-Aug-12,11559.62,11623.71,11485.07,11500.83
30-Aug-12,11470.1,11607.24,11435.99,11564.38
31-Aug-12,11550.09,11632.27,11428.72,11515.94
03-Sep-12,11517.72,11576.72,11418.77,11441.51
04-Sep-12,11448.65,11517.32,11394.74,11501.58
05-Sep-12,11466.39,11466.39,11277.13,11292.73
06-Sep-12,11316.12,11422.05,11299.06,11351.88
07-Sep-12,11541.78,11631.89,11521.18,11611.55
08-Sep-12,11619.36,11663.66,11619.36,11646.45
10-Sep-12,11675.8,11686.98,11529.61,11557.31
11-Sep-12,11517.29,11647.67,11490.12,11624.57
12-Sep-12,11691.34,11734.31,11604.48,11686.61
13-Sep-12,11732.28,11772.1,11670.86,11703.7
14-Sep-12,11981.29,12216.8,11981.29,12188.84
17-Sep-12,12435.29,12657.01,12411.51,12583.34
18-Sep-12,12532.83,12696.54,12520.83,12670.22
20-Sep-12,12502.6,12662.22,12502.6,12530.32
21-Sep-12,12607.34,13102.33,12607.34,13037.34
24-Sep-12,13060.49,13235.92,13035.96,13100.82
25-Sep-12,13146.96,13219.06,12992.88,13104.89
26-Sep-12,13028.85,13122.21,12989.36,13098.52
27-Sep-12,13144.98,13185.02,13055.99,13091.7
28-Sep-12,13186.26,13241.96,13121.23,13138.71
01-Oct-12,13150.97,13157.84,13056.15,13117.29
03-Oct-12,13150.69,13172.1,13047.69,13106.05
04-Oct-12,13172.35,13411.45,13172.35,13357.44
05-Oct-12,13429.74,13481.46,13090.31,13212.11
08-Oct-12,13221.32,13221.32,13030.85,13051.05
09-Oct-12,13128.4,13237.9,13060.22,13143.02
10-Oct-12,13052.77,13055.71,12951.61,12970.74
11-Oct-12,12997.75,13183.14,12917.1,13139.79
12-Oct-12,13182.46,13253.84,13068.22,13086.92
15-Oct-12,13054.24,13152.23,12978.97,13135.49
16-Oct-12,13192.99,13218.53,13010.91,13026.54
17-Oct-12,13101.08,13119.94,12978.95,13036.14
18-Oct-12,13084.02,13319.23,13053.23,13307.99
19-Oct-12,13268.58,13334.76,13130.98,13193.05
22-Oct-12,13135.39,13345.33,13125.47,13325.37
23-Oct-12,13331.19,13394.57,13252.82,13293.56
25-Oct-12,13286.45,13364.6,13262.19,13340.14
26-Oct-12,13286.86,13361.23,13172.42,13217.36
29-Oct-12,13226.98,13306.61,13135.97,13180.61
30-Oct-12,13192.97,13321.19,12838.05,12870.61
31-Oct-12,12865.88,12964.98,12780.23,12947.29
01-Nov-12,12969.41,13034.99,12899.87,12994.34
02-Nov-12,13136.46,13181.49,13089.29,13163.28
05-Nov-12,13157.46,13196.09,13097.07,13177.11
06-Nov-12,13139.65,13278.13,13126.36,13255.89
07-Nov-12,13261.23,13458.36,13234.68,13397.49
08-Nov-12,13271.2,13375.7,13255.94,13347.59
09-Nov-12,13344.91,13408.66,13137.08,13186.94
12-Nov-12,13202.24,13334.97,13168.43,13310.99
13-Nov-12,13341.1,13341.1,13224.49,13254.84
15-Nov-12,13198.57,13248.23,13134.74,13233.44
16-Nov-12,13216.8,13257.27,12979.97,13020.82
19-Nov-12,13040.23,13073.35,12934.58,13004.92
20-Nov-12,13080.63,13106.03,12939.8,12991.1
21-Nov-12,13037.98,13171.31,12977.59,13156.39
22-Nov-12,13217.41,13283.7,13201.44,13224.23
23-Nov-12,13266.4,13266.4,13096.61,13178.67
26-Nov-12,13217.2,13217.2,13115.45,13138.94
27-Nov-12,13227.65,13393.35,13223.31,13381.03
29-Nov-12,13439.78,13810.86,13433.57,13750.98
30-Nov-12,13846.85,13965.19,13774.36,13951.88
03-Dec-12,13942.59,13975.01,13840.4,13895.42
04-Dec-12,13885.54,14023.57,13871.69,13999.61
